College,Division
BrighamYoung,0
FloridaState,4
Iowa,1
KansasState,1
NewMexico,3
TexasTech,3
PennState,2
SouthernCalifornia,0
ArizonaState,3
SanDiegoState,0
Baylor,3
NorthTexas,3
NorthernIllinois,1
Northwestern,1
WesternMichigan,1
Wisconsin,1
Wyoming,0
Auburn,4
Akron,1
VirginiaTech,4
Alabama,4
UCLA,0
Arizona,3
Utah,0
ArkansasState,4
NorthCarolinaState,4
BallState,1
Florida,4
BoiseState,0
BostonCollege,2
WestVirginia,4
BowlingGreenState,1
Michigan,1
Virginia,4
Buffalo,2
Syracuse,2
CentralFlorida,4
GeorgiaTech,4
CentralMichigan,1
Purdue,1
Colorado,0
ColoradoState,0
Connecticut,2
EasternMichigan,1
EastCarolina,4
Duke,4
FresnoState,0
OhioState,1
Houston,3
Rice,3
Idaho,0
Washington,0
Kansas,1
SouthernMethodist,3
Kent,1
Pittsburgh,2
Kentucky,4
Louisville,4
LouisianaTech,4
LouisianaMonroe,4
Minnesota,1
MiamiOhio,1
Vanderbilt,4
MiddleTennesseeState,4
Illinois,1
MississippiState,4
Memphis,4
Nevada,0
Oregon,0
NewMexicoState,3
SouthCarolina,4
Ohio,1
IowaState,1
SanJoseState,0
Nebraska,1
SouthernMississippi,4
Tennessee,4
Stanford,0
WashingtonState,0
Temple,2
Navy,2
TexasA&M,3
NotreDame,1
TexasElPaso,3
Oklahoma,3
Toledo,1
Tulane,4
Mississippi,4
Tulsa,3
NorthCarolina,4
UtahState,0
Army,2
Cincinnati,1
AirForce,0
Rutgers,2
Georgia,4
LouisianaState,4
LouisianaLafayette,4
Texas,3
Marshall,4
MichiganState,1
MiamiFlorida,4
Missouri,1
Clemson,4
NevadaLasVegas,0
WakeForest,4
Indiana,1
OklahomaState,3
OregonState,0
Maryland,2
TexasChristian,3
California,0
AlabamaBirmingham,4
Arkansas,4
Hawaii,0
